 PWM (mus); RPM; Current (A); Voltage (V); Power (W); Force (Kg f); Efficiency (g/W)
1792,0;2140,0;6,73;10,0;67,3;1,85;27,4
1796,0;2160,0;6,9;10,0;69,0;1,88;27,2
1800,0;2179,0;7,13;10,0;71,3;1,91;26,8
1804,0;2200,0;7,4;10,0;74,0;1,99;26,9
1808,0;2225,0;7,6;10,0;76,0;2,0;26,3
1812,0;2245,0;7,9;10,0;79,0;2,06;26,1
1816,0;2273,0;8,1;10,0;81,0;2,09;25,8
1820,0;2293,0;8,33;10,0;83,3;2,12;25,5
1824,0;2307,0;8,64;10,0;86,4;2,17;25,1
1828,0;2333,0;8,89;10,0;88,9;2,21;24,9
1832,0;2353,0;9,14;10,0;91,4;2,27;24,9
1836,0;2378,0;9,4;10,0;94,0;2,3;24,5
1840,0;2398,0;9,7;10,0;97,0;2,36;24,4
1844,0;2410,0;10,0;10,0;100,0;2,41;24,1
1848,0;2436,0;10,2;10,0;102,0;2,45;24,1
1852,0;2453,0;10,5;10,0;105,0;2,48;23,6
1856,0;2481,0;10,79;10,0;107,9;2,55;23,7
1860,0;2499,0;11,04;10,0;110,4;2,58;23,4
1864,0;2522,0;11,35;10,0;113,5;2,62;23,1
1868,0;2543,0;11,6;10,0;116,0;2,65;22,8
1872,0;2558,0;11,9;10,0;119,0;2,69;22,6
1876,0;2575,0;12,28;10,0;122,8;2,74;22,3
1880,0;2602,0;12,44;10,0;124,4;2,77;22,3
1884,0;2613,0;12,8;10,0;128,0;2,82;22,0
1888,0;2633,0;13,13;10,0;131,3;2,88;21,9
1892,0;2657,0;13,4;10,0;134,0;2,89;21,6
1896,0;2665,0;13,62;10,0;136,2;2,92;21,4
1900,0;2668,0;13,6;10,0;136,0;2,93;21,5
